,date,close,high,low,open,volume
0,2000-01-03,30.5625,32.5,30.5,32.125,441000
1,2000-01-04,30.4375,30.9375,30.3125,30.5,490600
2,2000-01-05,30.3125,30.4375,29.875,30.3125,577400
3,2000-01-06,29.0625,29.9375,28.9375,29.75,489600
4,2000-01-07,30.4375,31.125,29.0625,29.0625,472100
5,2000-01-10,30.6875,31.625,30.5625,31.5,355100
6,2000-01-11,30.0625,30.9375,29.5625,30.9375,648700
7,2000-01-12,29.8125,30.0,29.5,29.9375,445500
8,2000-01-13,30.0,30.5,29.5625,29.6875,224300
9,2000-01-14,29.75,30.3125,29.625,30.0,546400
10,2000-01-18,29.625,30.4375,29.25,29.5,341900
11,2000-01-19,30.125,30.25,29.6875,29.75,240500
12,2000-01-20,29.0625,30.0625,29.0,30.0,375400
13,2000-01-21,28.25,29.3125,28.0,29.3125,516500
14,2000-01-24,27.75,28.4375,27.75,28.1875,384600
15,2000-01-25,27.875,28.3125,27.375,27.625,361200
16,2000-01-26,27.625,28.0,26.75,26.75,600700
17,2000-01-27,27.0,27.6875,26.6875,27.5,441300
18,2000-01-28,26.1875,27.125,26.1875,26.75,384800
19,2000-01-31,26.25,26.5,26.125,26.25,329400
20,2000-02-01,26.3125,27.0625,26.125,26.125,564300
21,2000-02-02,25.8125,26.25,25.625,26.0625,512200
22,2000-02-03,26.5625,26.9375,25.125,25.8125,428900
23,2000-02-04,26.625,27.125,26.5,26.5,388000
24,2000-02-07,25.375,26.25,25.25,26.25,163100
25,2000-02-08,25.1875,25.625,24.5,25.375,575300
26,2000-02-09,24.0,25.75,23.875,25.625,796600
27,2000-02-10,24.0625,24.25,23.375,24.0,1114300
28,2000-02-11,23.25,24.125,23.25,24.0,1216000
29,2000-02-14,23.375,23.5,23.0625,23.25,237300
30,2000-02-15,23.375,23.625,23.0625,23.3125,382100
31,2000-02-16,22.3125,23.5625,22.0625,23.375,922700
32,2000-02-17,22.625,23.9375,22.625,23.375,758100
33,2000-02-18,22.125,23.125,22.0,23.0,1077000
34,2000-02-22,22.375,22.875,22.0,22.0,1041500
35,2000-02-23,23.25,23.5,22.3125,22.375,937900
36,2000-02-24,22.0625,23.0625,22.0625,23.0,619500
37,2000-02-25,23.3125,24.375,22.0625,22.0625,685000
38,2000-02-28,23.0625,24.0625,22.5625,23.1875,486000
39,2000-02-29,24.0,24.625,22.75,22.9375,878600
40,2000-03-01,22.625,24.5625,22.125,24.5625,724400
41,2000-03-02,22.8125,23.25,22.5,22.75,945000
42,2000-03-03,22.4375,22.75,22.25,22.25,668200
43,2000-03-06,22.375,22.6875,22.25,22.5625,661200
44,2000-03-07,21.125,22.375,21.0,22.1875,1092800
45,2000-03-08,22.0,22.0625,21.375,21.375,485300
46,2000-03-09,22.75,23.0,21.5,21.875,394600
47,2000-03-10,21.8125,22.6875,21.5625,22.5625,476600
48,2000-03-13,21.3125,21.8125,21.0625,21.8125,490100
49,2000-03-14,22.5625,22.75,21.1875,21.5,519800
50,2000-03-15,24.125,24.25,22.25,22.25,687700
51,2000-03-16,26.4375,27.0,23.5,24.0,863600
52,2000-03-17,24.3125,26.125,24.3125,25.75,901500
53,2000-03-20,25.0,25.0,24.4375,24.625,519100
54,2000-03-21,25.6875,25.875,24.9375,25.0,397500
55,2000-03-22,24.75,25.4375,24.5,25.4375,543500
56,2000-03-23,24.125,24.6875,23.5,24.25,820500
57,2000-03-24,25.5625,25.9375,24.25,24.625,622700
58,2000-03-27,25.625,26.03125,25.5,25.75,560400
59,2000-03-28,26.25,26.625,25.25,25.25,518500
60,2000-03-29,26.8125,27.5,26.0625,26.0625,767700
61,2000-03-30,27.1875,27.75,26.875,27.0625,468400
62,2000-03-31,27.75,28.375,26.75,26.75,831400
63,2000-04-03,27.875,28.5,27.5625,27.8125,381500
64,2000-04-04,27.0625,28.875,26.5,27.625,655300
65,2000-04-05,27.6875,28.0625,27.0,27.0,516200
66,2000-04-06,28.625,28.8125,27.5625,27.6875,286100
67,2000-04-07,28.9375,29.25,28.375,28.375,906100
68,2000-04-10,29.1875,30.0,28.3125,28.6875,409300
69,2000-04-11,29.75,30.0625,28.875,29.0,921500
70,2000-04-12,29.1875,29.75,29.0,29.75,484500
71,2000-04-13,27.8125,29.1875,27.75,29.1875,362500
72,2000-04-14,26.0,27.5625,25.375,27.5625,516700
73,2000-04-17,25.9375,26.3125,25.5,25.75,504300
74,2000-04-18,26.3125,26.875,25.5,25.625,404800
75,2000-04-19,25.4375,26.125,25.25,26.0625,435700
76,2000-04-20,24.9375,25.9375,24.3125,25.125,522000
77,2000-04-24,24.9375,25.5,24.1875,24.6875,405200
78,2000-04-25,25.0625,25.4375,25.0,25.0,321700
79,2000-04-26,23.9375,25.0625,23.75,25.0,873300
80,2000-04-27,23.0625,23.25,22.25,23.125,539700
81,2000-04-28,22.9375,23.3125,22.8125,22.9375,265500
82,2000-05-01,23.0625,23.125,22.5,22.875,491800
83,2000-05-02,22.5,23.5,22.375,23.0,500100
84,2000-05-03,21.875,22.25,21.75,22.25,566200
85,2000-05-04,22.125,22.375,21.875,21.9375,337500
86,2000-05-05,21.9375,22.25,21.875,21.9375,346300
87,2000-05-08,22.4375,22.75,21.9375,22.0,519900
88,2000-05-09,23.125,23.125,22.8125,23.125,691800
89,2000-05-10,22.625,23.0,22.375,22.9375,264600
90,2000-05-11,23.9375,24.25,22.8125,22.875,454400
91,2000-05-12,23.6875,24.1875,23.5625,23.9375,262800
92,2000-05-15,26.875,27.125,25.5,26.0,917400
93,2000-05-16,26.5,27.3125,25.9375,27.0,794800
94,2000-05-17,26.0,26.375,25.6875,26.25,376400
95,2000-05-18,26.75,27.125,25.75,25.75,330300
96,2000-05-19,26.8125,27.375,26.5625,26.5625,579800
97,2000-05-22,27.75,27.9375,26.5625,27.0,678000
98,2000-05-23,27.5,27.75,27.3125,27.75,645700
99,2000-05-24,26.8125,27.5,25.75,27.25,541600
100,2000-05-25,27.0625,27.75,26.75,27.625,539200
101,2000-05-26,27.1875,27.4375,26.8125,27.1875,600900
102,2000-05-30,27.8125,28.0625,27.1875,27.1875,321000
103,2000-05-31,28.0,28.5,27.875,27.9375,354800
104,2000-06-01,28.1875,28.25,27.5,27.8125,548700
105,2000-06-02,28.9375,29.6875,28.375,28.375,586800
106,2000-06-05,28.9375,29.0,28.3125,29.0,303600
107,2000-06-06,28.0625,28.8125,28.0,28.8125,297300
108,2000-06-07,28.375,28.875,27.3125,28.0625,674600
109,2000-06-08,27.75,28.3125,27.375,28.125,241500
110,2000-06-09,27.9375,28.4375,27.625,27.75,339900
111,2000-06-12,28.0625,28.3125,28.0,28.0625,319600
112,2000-06-13,28.75,29.0,28.0625,28.0625,370400
113,2000-06-14,28.9375,29.0625,28.75,28.875,328700
114,2000-06-15,29.0,29.1875,28.875,28.875,291000
115,2000-06-16,27.375,28.5,26.5,28.25,1490200
116,2000-06-19,27.125,27.75,26.8125,27.5625,427300
117,2000-06-20,26.375,27.125,26.375,26.875,454300
118,2000-06-21,26.3125,26.625,26.1875,26.4375,501800
119,2000-06-22,25.9375,26.375,25.9375,26.3125,382000
120,2000-06-23,24.9375,25.9375,24.5625,25.9375,1416200
121,2000-06-26,24.4375,24.9375,24.3125,24.9375,734000
122,2000-06-27,24.8125,24.875,24.1875,24.5,853600
123,2000-06-28,24.640625,24.9375,24.5,24.875,786300
124,2000-06-29,24.0,24.625,23.75,24.625,637700
125,2000-06-30,22.015625,24.5,22.0,24.25,988200
126,2000-07-03,23.75,23.9375,22.625,22.625,603100
127,2000-07-05,24.0625,24.5625,23.75,23.8125,529300
