,date,close,high,low,open,volume
0,2000-01-03,24.5625,26.0,23.875,26.0,159500
1,2000-01-04,24.0,24.875,23.875,24.8125,160600
2,2000-01-05,24.4375,24.5625,23.625,24.0625,80400
3,2000-01-06,24.3125,24.75,24.0,24.4375,105300
4,2000-01-07,24.625,24.625,24.0,24.1875,53700
5,2000-01-10,24.8125,24.875,24.1875,24.8125,60000
6,2000-01-11,24.375,25.3125,24.375,24.9375,99100
7,2000-01-12,23.5,24.625,23.4375,24.625,105600
8,2000-01-13,24.375,24.375,23.8125,23.8125,236100
9,2000-01-14,25.0,25.4375,24.3125,24.3125,387100
10,2000-01-18,24.75,24.9375,24.75,24.875,96300
11,2000-01-19,24.875,24.875,24.75,24.75,146400
12,2000-01-20,23.5625,24.9375,23.5,24.875,132000
13,2000-01-21,23.6875,23.8125,23.625,23.6875,105400
14,2000-01-24,23.5625,23.9375,23.5625,23.6875,57500
15,2000-01-25,22.25,23.625,22.125,23.625,243800
16,2000-01-26,22.3125,22.6875,21.1875,22.0,290600
17,2000-01-27,22.6875,22.9375,22.3125,22.375,215900
18,2000-01-28,23.0625,23.375,22.6875,22.75,213200
19,2000-01-31,23.4375,23.75,22.875,22.875,320600
20,2000-02-01,23.5625,23.6875,23.4375,23.4375,371300
21,2000-02-02,23.375,23.6875,22.8125,23.5625,191200
22,2000-02-03,23.25,24.0625,23.0625,23.5625,211000
23,2000-02-04,23.3125,23.6875,23.1875,23.1875,68600
24,2000-02-07,22.8125,23.5,22.75,23.375,33500
25,2000-02-08,22.625,22.875,22.25,22.875,106000
26,2000-02-09,21.75,22.625,21.3125,22.5,169600
27,2000-02-10,22.1875,22.1875,21.75,21.8125,200700
28,2000-02-11,21.8125,22.0625,21.5625,22.0625,171200
29,2000-02-14,22.375,22.75,21.8125,21.8125,368300
30,2000-02-15,22.625,22.8125,22.5625,22.5625,170300
31,2000-02-16,22.625,23.4375,22.4375,22.5,198900
32,2000-02-17,22.4375,22.75,22.375,22.75,136700
33,2000-02-18,22.8125,23.125,22.4375,22.4375,418900
34,2000-02-22,21.375,22.6875,21.375,22.6875,131300
35,2000-02-23,20.9375,21.875,20.3125,21.5,173400
36,2000-02-24,20.6875,21.125,20.5625,20.9375,174800
37,2000-02-25,21.625,22.0,20.6875,20.6875,234400
38,2000-02-28,21.875,22.125,21.5,21.5625,197900
39,2000-02-29,22.1875,22.1875,21.5625,21.9375,153600
40,2000-03-01,22.25,22.25,21.8125,22.0625,151400
41,2000-03-02,21.9375,22.25,21.75,22.1875,103900
42,2000-03-03,21.4375,22.0625,21.3125,22.0,99200
43,2000-03-06,20.625,21.5,20.5625,21.375,81000
44,2000-03-07,21.0,21.1875,20.3125,20.3125,137500
45,2000-03-08,19.75,21.0,19.75,20.9375,167600
46,2000-03-09,20.3125,20.3125,19.5,19.9375,255100
47,2000-03-10,19.8125,20.375,19.5,20.375,100300
48,2000-03-13,19.25,19.8125,18.9375,19.8125,138300
49,2000-03-14,20.375,20.375,19.125,19.125,369100
50,2000-03-15,21.25,21.5,20.1875,20.375,262800
51,2000-03-16,21.0625,21.5,21.0,21.5,262500
52,2000-03-17,20.75,21.625,20.25,20.75,209500
53,2000-03-20,19.6875,21.5,19.625,20.875,147300
54,2000-03-21,19.6875,19.9375,19.25,19.75,162500
55,2000-03-22,19.625,19.9375,19.625,19.6875,110800
56,2000-03-23,20.5625,20.75,19.625,19.625,247500
57,2000-03-24,20.5625,20.875,20.5625,20.6875,385100
58,2000-03-27,20.0625,20.75,20.0,20.6875,66000
59,2000-03-28,20.3125,20.3125,20.0,20.0625,81100
60,2000-03-29,21.125,21.1875,20.3125,20.3125,359200
61,2000-03-30,23.375,23.375,21.25,21.25,349200
62,2000-03-31,22.375,24.25,21.8125,23.75,376500
63,2000-04-03,23.0,23.1875,22.5,22.625,234300
64,2000-04-04,22.9375,23.25,22.6875,23.25,170700
65,2000-04-05,22.0,22.9375,21.8125,22.875,331400
66,2000-04-06,22.375,22.875,22.1875,22.1875,136700
67,2000-04-07,22.25,22.5,22.125,22.3125,131800
68,2000-04-10,22.25,22.9375,22.25,22.375,84400
69,2000-04-11,22.25,22.875,22.0625,22.375,148600
70,2000-04-12,23.0625,23.125,22.3125,22.3125,287400
71,2000-04-13,23.0,23.375,22.75,23.0625,138200
72,2000-04-14,22.0625,23.0,21.75,23.0,96400
73,2000-04-17,22.125,22.375,21.5,22.0,105800
74,2000-04-18,21.8125,22.375,21.6875,22.25,88400
75,2000-04-19,22.3125,22.9375,22.0,22.0,213000
76,2000-04-20,23.4375,23.9375,22.3125,22.3125,272700
77,2000-04-24,24.625,24.6875,23.375,23.375,219200
78,2000-04-25,24.5625,24.875,23.8125,24.625,271500
79,2000-04-26,24.3125,24.5625,24.0,24.5,303900
80,2000-04-27,24.625,24.875,24.0,24.0,402900
81,2000-04-28,24.8125,24.9375,24.625,24.625,248400
82,2000-05-01,25.5,25.9375,24.8125,24.875,118200
83,2000-05-02,24.5,25.375,24.125,25.375,56000
84,2000-05-03,24.5625,25.125,24.375,24.5,71400
85,2000-05-04,24.9375,25.0625,24.75,24.75,108600
86,2000-05-05,24.9375,25.5625,24.875,25.375,185400
87,2000-05-08,23.9375,24.9375,23.5625,24.875,76000
88,2000-05-09,23.875,23.875,23.5,23.75,117400
89,2000-05-10,24.1875,24.625,23.875,23.875,139100
90,2000-05-11,25.4375,25.8125,24.1875,24.1875,397900
91,2000-05-12,24.4375,26.25,24.4375,25.5,321600
92,2000-05-15,24.125,24.875,24.0,24.5625,65100
