signal,total_zeros,total_ones,percent_ones
adx_above_30,1700462,513266,23.19
adx_above_40,2061132,152596,6.89
adx_signal,1364535,849193,38.36
atr_volatility_spike,868807,1344921,60.75
atr_volatility_spike_3pct,1614389,599339,27.07
bollinger_band_width_wide,1109848,1103880,49.87
bollinger_bandwidth_top_10pct,1943305,270423,12.22
bollinger_close_above_upper,2064120,149608,6.76
close_above_yesterday_high,1601421,612307,27.66
close_below_yesterday_low,1691911,521817,23.57
ema20_slope_positive,928134,1285594,58.07
ema50_slope_positive,864063,1349665,60.97
ema_cross_signal,846054,1367674,61.78
ema_crossover_12_26,882838,1330890,60.12
ema_crossover_8_21,902622,1311106,59.23
ma_crossover,887410,1326318,59.91
ma_crossover_20_100,831191,1382537,62.45
ma_crossover_5_20,949741,1263987,57.1
macd_histogram_positive,1098883,1114845,50.36
macd_positive_trend,882838,1330890,60.12
macd_signal,1098883,1114845,50.36
price_above_ema100,808044,1405684,63.5
price_above_ema20,928016,1285712,58.08
price_above_ema50,863953,1349775,60.97
return_1d_down,1158511,1055217,47.67
return_1d_up,1076778,1136950,51.36
return_5d_down,1207005,1006723,45.48
return_5d_up,1016612,1197116,54.08
rsi_overbought,2061339,152389,6.88
rsi_overbought_signal,619715,1594013,72.01
rsi_oversold,2148491,65237,2.95
rsi_signal,1881276,332452,15.02
sma_200_trend,780222,1433506,64.76
stochastic_overbought,1592388,621340,28.07
stochastic_oversold,1826275,387453,17.5
stochastic_percentk_below_10,2019302,194426,8.78
volatility_signal,999373,1214355,54.86
volume_signal,1244701,969027,43.77
volume_spike_10d,1294760,918968,41.51
volume_spike_20d,1330832,882896,39.88
